x,y
-10.0,0.020243711738041445
-9.975,0.020344300202532927
-9.95,0.020445637714479003
-9.925,0.02054773170403367
-9.9,0.02065058969338638
-9.875,0.020754219298128453
-9.85,0.020858628228643282
-9.825,0.0209638242915206
-9.8,0.021069815390995318
-9.775,0.021176609530411485
-9.75,0.02128421481371176
-9.725,0.021392639446952987
-9.7,0.021501891739848417
-9.675,0.021611980107337017
-9.65,0.02172291307118049
-9.625,0.0218346992615885
-9.6,0.021947347418872755
-9.575,0.022060866395130437
-9.55,0.022175265155957653
-9.525,0.022290552782193482
-9.5,0.02240673847169519
-9.475,0.022523831541145393
-9.45,0.022641841427891655
-9.425,0.022760777691819306
-9.4,0.02288065001725812
-9.375,0.023001468214923517
-9.35,0.02312324222389308
-9.325,0.02324598211361907
-9.3,0.023369698085977664
-9.275,0.023494400477355785
-9.25,0.023620099760776156
-9.225,0.02374680654806148
-9.2,0.023874531592038607
-9.175,0.02400328578878337
-9.15,0.024133080179907174
-9.125,0.024263925954885943
-9.1,0.0243958344534326
-9.075,0.024528817167913816
-9.05,0.024662885745812074
-9.025,0.02479805199223397
-9.0,0.024934327872465682
-8.975,0.025071725514576815
-8.95,0.02521025721207344
-8.925,0.0253499354266015
-8.9,0.025490772790701728
-8.875,0.02563278211061702
-8.85,0.025775976369153596
-8.825,0.025920368728596994
-8.8,0.02606597253368416
-8.775,0.026212801314632876
-8.75,0.026360868790229634
-8.725,0.026510188870977523
-8.7,0.02666077566230521
-8.675,0.026812643467838414
-8.65,0.026965806792735476
-8.625,0.027120280347088063
-8.6,0.02727607904938882
-8.575,0.02743321803006732
-8.55,0.02759171263509579
-8.525,0.02775157842966633
-8.5,0.027912831201941102
-8.475,0.028075486966877197
-8.45,0.028239561970127915
-8.425,0.028405072692022127
-8.4,0.02857203585162361
-8.375,0.02874046841087193
-8.35,0.02891038757880711
-8.325,0.029081810815879752
-8.3,0.029254755838348627
-8.275,0.02942924062276785
-8.25,0.029605283410565588
-8.225,0.029782902712716545
-8.2,0.029962117314510348
-8.175,0.03014294628041811
-8.15,0.03032540895905945
-8.125,0.0305095249882723
-8.1,0.030695314300288032
-8.075,0.030882797127014305
-8.05,0.031071994005428143
-8.025,0.03126292578308213
-8.0,0.03145561362372594
-7.975,0.031650079013046485
-7.949999999999999,0.0318463437645292
-7.925,0.03204443002544345
-7.9,0.032244360282955145
-7.875,0.032446157370369426
-7.85,0.032649844473506905
-7.824999999999999,0.03285544513721639
-7.8,0.033062983272027585
-7.775,0.033272483160947275
-7.75,0.033483969466402225
-7.725,0.03369746723733272
-7.699999999999999,0.03391300191644031
-7.675,0.03413059934759358
